,Unnamed: 0,Unvan,Link,Tarix,Qiymet,rooms,floor,area
0,0,Şağan q.,https://bina.az//items/3495797,bugün 16:06,260 000AZN,3 otaq,13/16,160 m²
1,1,Mərdəkan q.,https://bina.az//items/3004266,bugün 16:06,195 000AZN,2 otaq,10/16,160 m²
2,2,Neftçilər m.,https://bina.az//items/3632290,bugün 16:05,137 000AZN,2 otaq,7/9,75 m²
3,3,Masazır q.,https://bina.az//items/3562385,bugün 16:05,36 000AZN,3 otaq,7/12,60 m²
4,4,Qara Qarayev m.,https://bina.az//items/3565113,bugün 16:05,138 600AZN,3 otaq,10/17,5 m²
5,5,Memar Əcəmi m.,https://bina.az//items/3632287,bugün 16:05,128 000AZN,3 otaq,10/16,74 m²
6,6,Memar Əcəmi m.,https://bina.az//items/3632236,bugün 16:05,209 000AZN,4 otaq,3/16,122 m²
7,7,Mərdəkan q.,https://bina.az//items/3366366,bugün 16:05,365 000AZN,3 otaq,3/17,350 m²
8,8,Nəsimi r.,https://bina.az//items/3632286,bugün 16:05,315 000AZN,7 otaq,14/16,125 m²
9,9,Buzovna q.,https://bina.az//items/3632285,bugün 16:05,146 000AZN,4 otaq,18/19,120 m²
10,10,Binəqədi q.,https://bina.az//items/3632284,bugün 16:04,67 000AZN,2 otaq,7/17,85 m²
11,11,Buzovna q.,https://bina.az//items/3560035,bugün 16:04,175 000AZN,2 otaq,11/17,130 m²
12,12,Nəsimi m.,https://bina.az//items/3624326,bugün 16:00,200 000AZN,4 otaq,5/16,147 m²
13,13,Mərdəkan q.,https://bina.az//items/3615666,bugün 16:00,335 000AZN,2 otaq,9/13,180 m²
14,14,Mərdəkan q.,https://bina.az//items/3067906,bugün 15:59,175 000AZN,4 otaq,5/16,150 m²
15,15,Xırdalan,https://bina.az//items/3630200,bugün 15:59,80 800AZN,2 otaq,2/2,53 m²
16,16,Mərdəkan q.,https://bina.az//items/3615662,bugün 15:59,490 000AZN,4 otaq,20/27,200 m²
17,17,İnşaatçılar m.,https://bina.az//items/3632270,bugün 15:59,210 000AZN,1 otaq,15/16,130 m²
18,18,Mərdəkan q.,https://bina.az//items/2847757,bugün 15:59,420 000AZN,3 otaq,12/18,220 m²
19,19,Mərdəkan q.,https://bina.az//items/2820878,bugün 15:58,1 100 000AZN,3 otaq,12/16,450 m²
20,20,8 Noyabr m.,https://bina.az//items/3292025,bugün 15:59,780 000AZN,4 otaq,1/5,360 m²
21,21,Həzi Aslanov m.,https://bina.az//items/3521573,bugün 15:55,130 000AZN,2 otaq,7/9,100 m²
22,22,Nərimanov r.,https://bina.az//items/3457673,bugün 15:55,517 000AZN,4 otaq,8/18,450 m²
23,23,Elmlər Akademiyası m.,https://bina.az//items/3389423,bugün 15:55,1 000 000AZN,2 otaq,19/21,296 m²
24,24,Xətai r.,https://bina.az//items/3615080,bugün 15:55,118 000AZN,2 otaq,6/9,60 m²
